Paper Title,Author,Link to Paper,Link for Code,Conference,Year,Author Affiliation,ReadMe,Type,Available,Last Modified,Language,Evaluate Later,Compiles,Output Matches,Hardware,Made for Reproducibility,Funding,Artifact Evaluation,Comments
A Comprehensive Formal Analysis of 5G Handover,"Aleksi Peltonen, Ralf Sasse, David Basin",https://dl.acm.org/doi/pdf/10.1145/3448300.3467823,https://github.com/tamarin-prover/tamarin-prover/tree/develop/examples/wisec21-5G-handover,WiSec,2021,0,1,1,2,08/09/2023,Tamarin,,2,-1,,1,Academy of Finland,-1,I ran into trouble trying to install Tamarin through various means and timed out
LNGate: Powering IoT with Next Generation Lightning Micro-payments using Threshold Cryptography,"Ahmet Kurt, Suat Mercan, Omer Shlomovits, Enes Erdin, Kemal Akkaya",https://dl.acm.org/doi/pdf/10.1145/3448300.3467833,https://github.com/ZenGo-X/lightning,WiSec,2021,1,2,1,2,03/26/2021,C,,2,-1,,0,Cisco Foundation,-1,Dependency package is not available (404)
A Hybrid Approach to Secure Function Evaluation using SGX,"Joseph I. Choi,Dave (Jing) Tian,Grant Hernandez,Christopher Patton,Benjamin Mood,Thomas Shrimpton,Kevin R. B. Butler,Patrick Traynor",https://dl.acm.org/doi/pdf/10.1145/3321705.3329835,https://github.com/FICS/smcsgx,AsiaCCS,2019,0,1,1,2,05/08/2019,C++,,2,-1,,1,National Science Foundation,-1,Cannot successfully run 'make'
Model Extraction Attacks on Graph Neural Networks: Taxonomy and Realisation,Wu Bang and Yang Xiangwen and Pan Shirui and Yuan Xingliang,dl.acm.org/doi/pdf/10.1145/3488932.3497753,https://github.com/TrustworthyGNN/MEA-GNN,AsiaCCS,2022,0,1,1,2,02/15/2022,Python,,2,-1,,1,Australian Research Council,-1,Dependency code will not install
Symbolic Synthesis of Indifferentiability Attacks,Rakotonirina Itsaka and Ambrona Miguel and Aguirre Alejandro and Barthe Gilles,dl.acm.org/doi/pdf/10.1145/3488932.3497759,https://github.com/miguel-ambrona/autodiff,AsiaCCS,2022,1,1,1,2,11/04/2021,OCaml,,2,-1,,1,,-1,Make file refuses to work
PSImple: Practical Multiparty Maliciously-Secure Private Set Intersection,Ben-Efraim Aner and Nissenbaum Olga and Omri Eran and Paskin-Cherniavsky Anat,dl.acm.org/doi/pdf/10.1145/3488932.3523254,https://github.com/ArielCyber/Malicious-MPSI,AsiaCCS,2022,0,1,1,2,02/22/2021,C++,,2,-1,,1,,-1,Dependency code is not available (404)
Port Contention Goes Portable: Port Contention Side Channels in Web Browsers,Rokicki Thomas,dl.acm.org/doi/pdf/10.1145/3488932.3517411,https://github.com/MIAOUS-group/web-port-contention,AsiaCCS,2022,0,2,1,2,02/23/2022,JavaScript,,2,-1,,1,"Intel, French National Research Agency",-1,Make script does not work
Ember-IO: Effective Firmware Fuzzing with Model-Free Memory Mapped IO,"Guy Farrelly,Michael Chesser,Damith C. Ranasinghe",https://dl.acm.org/doi/pdf/10.1145/3579856.3582840,https://github.com/Ember-IO/Ember-IO-Fuzzing,AsiaCCS,2023,0,2,1,2,06/22/2023,C,,2,-1,,1,Research Training Program Scholarship,-1,"This repo looks good, but one of the build scripts failed and the reproducible scripts complain about an environment variable issue that I can't resolve"
Link Membership Inference Attacks against Unsupervised Graph Representation Learning,"Wang, Xiuling and Wang, Wendy Hui",https://dl.acm.org/doi/pdf/10.1145/3627106.3627115,https://gitfront.io/r/user-8658281/Mpx6p294FzeZ/LMIA/,ACSAC,2023,0,1,1,2,,Python,Insufficient instructions,4,-1,,0,National Science Foundation,-1,I ran out of time trying to satisfy conditions for four separate models without any installation instructions from the authors
Detection of Anomalies in Electric Vehicle Charging Sessions,"Kern, Dustin and Krau\ss{",https://dl.acm.org/doi/pdf/10.1145/3627106.3627127,https://code.fbi.h-da.de/seacop/ev-charging-ids-data-sets/,ACSAC,2023,0,2,1,2,10/06/2023,Python,,0,1,,0,"German Federal Ministry of Education, Hessian Ministry for Higher Education, Research and the Arts, National Research Center for Applied Cybersecurity ATHENE, Deutsche Forschungsgemeinschaft","0,2",
