Paper Title,Author,Link to Paper,Link for Code,Conference,Year,Author Affiliation,ReadMe,Type,Available,Last Modified,Language,Evaluate Later,Compiles,Output Matches,Hardware,Made for Reproducibility,Funding,Artifact Evaluation,Comments
Differentially Private Resource Allocation,"Chen, Joann Qiongna and Wang, Tianhao and Zhang, Zhikun and Zhang, Yang and Jha, Somesh and Li, Zhou",https://dl.acm.org/doi/pdf/10.1145/3627106.3627181,https://github.com/dpra-dp/dpra,ACSAC,2023,0,2,1,2,10/2/23,Python,,1,1,,0,NSF,"1,2",The output of the jupyter notebooks in their repo had a deprecation warning on all of their figures when they published the repo
DarkDialogs: Automated detection of 10 dark patterns on cookie dialogs,"Daniel Kirkman,Kami Vaniea,Daniel W Woods",https://www.danielwoods.info/assets/pdf/KVW_DarkDialogs_EuroSnP.pdf,https://github.com/DarkDialogs/OpenScience,EuroS&P,2023,0,1,1,"2, DataShare",2/17/24,Python,Need Google Chrome and Linux,,,,1,Laboratory for Foundations of Computer Science (LFCS) institute at the University of Edinburgh,-1,
Investigating Graph Embedding Methods for Cross-Platform Binary Code Similarity Detection,"Victor Cochard, Damian Pfammatter, Chi Thang Duong, Mathias Humbert",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9797388,https://github.com/GESS-code/GESS,EuroS&P,2022,4,1,1,"2, figshare",1/13/23,Python,,2,-1,,0,,-1,Two authors from Cyber-Defence Campus armasuisse S+T in Switzerland. Two authors from universities in Switzerland. 
Stairway To Rainbow,"Gildas Avoine,Xavier Carpent,Diane Leblanc-Albarel",https://dl.acm.org/doi/pdf/10.1145/3579856.3582825,https://github.com/DianeLeblancAlbarel/Stairway-To-Rainbow,AsiaCCS,2023,0,1,1,2,6/9/22,"C, Python",,1,-1,,0,"COSIC/KULeuven (Leuven, Belgium)",-1,Output just indicates how many attacks were successful
Invasion of location privacy using online map services and smartphone sensors,"Hyunsoo Kim,Youngbae Jeon,Ji Won Yoon",https://dl.acm.org/doi/pdf/10.1145/3579856.3582828,https://github.com/aitch25/asiaccs23_location_tracker,AsiaCCS,2023,2,1,1,2,11/11/23,Python,,1,-1,,0,Institute of Information & Com- munications Technology Planning & Evaluation (IITP) grant funded by the Korean government (MSIT),-1,
PhishReplicant: A Language Model-based Approach to Detect Generated Squatting Domain Names,"Koide, Takashi and Fukushi, Naoki and Nakano, Hiroki and Chiba, Daiki",https://dl.acm.org/doi/pdf/10.1145/3627106.3627111,https://github.com/tkoide398/PhishReplicant,ACSAC,2023,3,2,1,2,9/26/23,Python,,0,1,,0,,0,They provide sample data for reproduciblity. Also provide instructions for running on new data. Code compiles in both cases
POPKORN: Popping Windows Kernel Drivers At Scale,"Rajat Gupta, Lukas Patrick Dresel, Noah Spahn, Giovanni Vigna, Christopher Kruegel, Taesoo Kim",https://dl.acm.org/doi/pdf/10.1145/3564625.3564631,https://github.com/ucsb-seclab/popkorn-artifact,ACSAC,2022,0,2,1,2,10/14/22,"Python, Docker file, Shell",,0,-1,94GB RAM,0,"DARPA, NSF, ONR, Intel Corp",1,Was still running after 24 hours. I stopped it and didn't get to check the output 
More is Better (Mostly): On the Backdoor Attacks in Federated Graph Neural Networks,"Jing Xu, Rui Wang, Stefanos Koffas, Kaitai Liang, Stjepan Picek",https://dl.acm.org/doi/pdf/10.1145/3564625.3567999,https://github.com/xujing1994/bkd_fedgnn,ACSAC,2022,0,1,1,2,5/3/23,Python,,1,1,,0,,0,
Better Together: Attaining the Triad of Byzantine-robust Federated Learning via Local Update Amplification,"Liyue Shen, Yanjun Zhang, Jingwei Wang, Guangdong Bai",https://dl.acm.org/doi/pdf/10.1145/3564625.3564658,https://github.com/UQ-Trust-Lab/AgrAmplifier,ACSAC,2022,0,2,1,2,10/16/22,Python,,0,0,64GB RAM,0,,0,Confusing instructions for how to check if ouput matches
SpacePhish: The Evasion-space of Adversarial Attacks against Phishing Website Detectors using Machine Learning,"Giovanni Apruzzese, Mauro Conti, Ying Yuan",https://dl.acm.org/doi/pdf/10.1145/3564625.3567980,https://spacephish.github.io,ACSAC,2022,0,2,"3,4","0,2",12/11/23,"HTML, Python",,1,-1,,1,Hilti corporation,1,One file didn't run because of missing data. Another file didn't run because of a connection error. The github mentions that the ML-PWD could have changed on the server side
Learning from Failures: Secure and Fault-Tolerant Aggregation for Federated Learning,"Mohamad Mansouri,Melek Önen,Wafa Ben Jaballah",https://dl.acm.org/doi/pdf/10.1145/3564625.3568135,https://github.com/MohamadMansouri/fault-tolerant-secure-agg,ACSAC,2022,6,2,4,2,6/6/23,Python,,1,-1,,1,"H2020 COLLABS project, 3IA Côte d’Azur program",0,
InfoCensor: An Information-Theoretic Framework against Sensitive Attribute Inference and Demographic Disparity,Zheng Tianhang and Li Baochun,dl.acm.org/doi/pdf/10.1145/3488932.3517402,https://github.com/iQua/InfoCensor,AsiaCCS,2022,0,1,1,2,3/9/22,Python,,1,-1,,1,,-1,The examples that use the data downloaded form UTKFace wouldn't run 
Malware Makeover: Breaking ML-based Static Analysis by Modifying Executable Bytes,Lucas Keane and Sharif Mahmood and Bauer Lujo and Reiter Michael K. and Shintre Saurabh,https://dl.acm.org/doi/pdf/10.1145/3433210.3453086,https://github.com/pwwl/enhanced-binary-diversification,AsiaCCS,2021,0,1,1,2,9/1/23,"C, Python, Other",,0,-1,,1,"Multidisciplinary University Research Initiative (MURI) Cyber Deception grant, NSF, National Security Agency, Google and Nvidia, and from Lockheed Martin and NATO through Carnegie Mellon CyLab; by a CyLab Presidential Fellowship and a NortonLifeLock Research Group Fellowship; and by a DoD National Defense Science and Engineering Graduate fellowship.",-1,I ran their code on the binary they provided. I didn't try getting my own binary to test it on.
X-Men: A Mutation-Based Approach for the Formal Analysis of Security Ceremonies,"Diego Sempreboni, Luca Vigano",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9230359,https://github.com/diegosempreboni/X-Men,EuroS&P,2020,0,1,0,2,5/3/23,Python,,2,-1,,1,,-1,Might not have installed Tamarin and Java correctly
"MADDC: Multi-Scale Anomaly Detection, Diagnosis and Correction for Discrete Event Logs","Xiaolei Wang, Lin Yang, Dongyang Li, Linru Ma, Yongzhong He, Junchao Xiao, Jiyuan Liu, Yuexiang Yang",https://dl.acm.org/doi/pdf/10.1145/3564625.3567972,https://github.com/040840308/MADDC/tree/master,ACSAC,2022,0,0,4,2,3/26/22,Python,,2,-1,,1,,-1,
User Perceptions of the Privacy and Usability of Smart DNS,"Rahel A. Fainchtein, Adam J. Aviv, Micah Sherr",https://dl.acm.org/doi/pdf/10.1145/3564625.3567978,https://github.com/GUSecLab/smartdns-study/tree/main,ACSAC,2022,0,2,"3,4",2,9/25/22,"Python, HTML, Javascript, QSF files",,2,-1,,1,"NSF, Georgetown University Callahan Family Chair Fund",0,"Repo says ""Made for replicability"" As a user study full reproducilbity isn't possible"
Finding Fixed Vulnerabilities with Off-the-Shelf Static Analysis,"Trevor Dunlap,Seaver Thorn,William Enck,Bradley Reaves",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190493,https://github.com/s3c2/daa,EuroS&P,2023,0,1,0,2,12/1/23,Python,,1,-1,,1,NSF,-1,They don't provide any data to test their code on. I was able to import their Python library into a test script.
Coverage and Secure Use Analysis of Content Security Policies via Clustering,"Mengxia Ren,Chuan Yue",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190533,https://github.com/mengxiaren2024/CSP_via_Clustering.git,EuroS&P,2023,0,0,1,"2, zenodo",3/2/23,Python,,1,-1,,1,NSF,-1,
Active Countermeasures for Email Fraud,"Wentao Chen,Fuzhou Wang,Matthew Edwards",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190490,https://github.com/scambaitermailbox/scambaiter_backend,EuroS&P,2023,0,1,1,2,10/23/22,Python,,-1,-1,,0,Not specified,-1,The source code is a mail server that crawls the Internet for scam emails and responds to them. Involves human interaction and would likely take me longer than an hour to get running
"TrojanZoo: Towards Unified, Holistic, and Practical Evaluation of Neural","Ren Pang, Zheng Zhang, Xiangshan Gao, Zhaohan Xi, Shouling Ji, Peng Cheng, Xiapu Luo, Ting Wang",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9797345,https://github.com/ain-soph/trojanzoo,EuroS&P,2022,0,2,4,"1,2",1/15/24,"Python, Dockerfile",,0,-1,,0,"NSF,  Hong Kong RGC",-1,"They don't provide the data on their repo, but their source code downloads it if specified. Training took over 10 hours"
Eliminating Vulnerabilities by Disabling Unwanted Functionality in Binary Programs,"Mohamad Mansouri,Jun Xu,Georgios Portokalidis",https://dl.acm.org/doi/pdf/10.1145/3579856.3595796,https://github.com/MohamadMansouri/feature-disable,AsiaCCS,2023,0,0,"1,3",2,4/29/23,"Python, Dockerfile, C++",,2,-1,,1,"ONR, DARPA, NSF",-1,Couldn't even get the docker to build
Understanding Disparate Effects of Membership Inference Attacks and their Countermeasures,Zhong Da and Sun Haipei and Xu Jun and Gong Neil and Wang Wendy Hui,dl.acm.org/doi/pdf/10.1145/3488932.3501279,https://github.com/dzhong2/MIA_disparity,AsiaCCS,2022,0,0,1,2,12/23/21,Python,,2,-1,,1,"NSF, IBM Faculty Award",-1,
Your Smart Home Can't Keep a Secret: Towards Automated Fingerprinting of IoT Traffic,Shuaike Dong and Zhou Li and Di Tang and Jiongyi Chen and Menghan  Sun and Kehuan Zhang,https://dl.acm.org/doi/pdf/10.1145/3320269.3384732,https://github.com/DongShuaike/iot-traffic-dataset,AsiaCCS,2020,0,0,2,"2, Google drive",3/10/20,"Python, pcap files",,2,-1,,0,General Research Funds established under the University Grant Committee of the Hong Kong Special Administrative Region,-1,No instructions provided in the README on running the code
Dynamic Backdoor Attacks Against Machine Learning Models,"Ahmed Salem, Rui Wen, Michael Backes, Shiqing Ma, Yang Zhang",https://ieeexplore.ieee.org/iel7/9797336/9797337/09797338.pdf,https://github.com/AhmedSalem2/Dynamic-Backdoor,EuroS&P,2022,1,1,4,2,11/20/23,Python,,2,-1,,1,"European Research Council under the European Union’s Seventh Framework Programme, Helmholtz Association within the project “Trustworthy Federated Data Analytics”, U.S. IARPA",-1,
Reproducible and Adaptable Log Data Generation for Sound Cybersecurity Experiments,"Uetz, Rafael and Hemminghaus, Christian and Hackl\",https://dl.acm.org/doi/pdf/10.1145/3485832.3488020,https://github.com/fkie-cad/socbed-eval-acsac-2021,ACSAC,2021,3,2,1,2,11/25/21,"Python, Shell",,2,-1,SSD with 50GB and 16GB RAM,0,German Federal Ministry of Education and Research (BMBF),1,I was able to run one script whose output matched. I couldn't build SOCBED
SODA: A System for Cyber Deception Orchestration and Automation,"Sajid, Md Sajidul Islam and Wei, Jinpeng and Abdeen, Basel and Al-Shaer, Ehab and Islam, Md Mazharul and Diong, Walter and Khan, Latifur",https://dl.acm.org/doi/pdf/10.1145/3485832.3485918,https://github.com/sajid36/soda-orchestration-engine,ACSAC,2021,0,1,3,2,9/30/22,Text,,-1,-1,,-1,"Office of Naval Research, Army Research Office, NSF",-1,
SoK: Context Sensing for Access Control in the Adversarial Home IoT,"Weijia He,Valerie Zhao,Olivia Morkved,Sabeeka Siddiqui,Earlence Fernandes,Josiah Hester,Blase Ur",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9581254,https://github.com/UChicagoSUPERgroup/eurosp21,EuroS&P,2021,0,1,5,2,2/24/21,Text,,-1,-1,,-1,"NSF, Earlence Fernandes was supported by the University of Wisconsin-Madison Office of the Vice Chancellor for Research and Graduate Education with funding from the Wisconsin Alumni Research Foundation",-1,Broken link
Fall of Giants: How popular text-based MLaaS fall against a simple evasion attack,"Luca Pajola,Mauro Conti",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9581208,https://github.com/pajola/ZeW,EuroS&P,2021,0,0,4,2,11/23/21,Python,,1,-1,,1,Not specified,-1,No requirementst.txt provided so I had to download several python packages
Dicos: Discovering Insecure Code Snippets from Stack Overflow Posts by Leveraging User Discussions,"Hong, Hyunji and Woo, Seunghoon and Lee, Heejo",https://dl.acm.org/doi/pdf/10.1145/3485832.3488026,https://github.com/hyunji-hong/DICOS-public,ACSAC,2021,0,1,4,2,9/13/21,"Python, SQL",Need more RAM,5,-1,24GB RAM,1,Institute of Information & Communications Technology Planning & Evaluation (IITP) grant funded by the Korea government (MSIT),-1,Could not install their requirements
Cybersecurity Event Detection with New and Re-emerging Words,Hyejin Shin and WooChul Shim and Jiin Moon and Jae Seo Woo Sol and  Sol and Yong Ho Yong,https://dl.acm.org/doi/pdf/10.1145/3320269.3384721,https://github.com/SamsungLabs/W2E,AsiaCCS,2020,3,1,2,2,6/2/23,Text,,-1,-1,,1,Not specified,-1,
PacJam: Securing Dependencies Continuously via Package-Oriented Debloating,Pashakhanloo Pardis and Machiry Aravind and Choi Hyonyoung and Canino Anthony and Heo Kihong and Lee Insup and Naik Mayur,dl.acm.org/doi/pdf/10.1145/3488932.3524054,https://github.com/ppashakhanloo/pacjam,AsiaCCS,2022,0,1,1,"2, Dropbox",1/31/22,"Python, Shell, Perl, Roff, C",,2,-1,,0,"ONR, NRF of Korea, MSIT Korean government",-1,"test.sh, dep-find, dep-symbol, and setup.sh run, but dep-all, lzload and dep-src do not"
Efficient Verifiable Image Redacting based on zk-SNARKs,Ko Hankyung and Lee Ingeun and Lee Seunghwa and Kim Jihye and Oh Hyunok,https://dl.acm.org/doi/pdf/10.1145/3433210.3453110,https://github.com/snp-labs/verifiable-image-redacting,AsiaCCS,2021,0,1,1,2,9/2/21,"C++, Python, Other",,2,-1,,1,Information & communications Technology Promotion(IITP) grant funded by the Korea government(MSIT),-1,Couldn't get the prerequisite OpenCV 3.4.0 working
Global Analysis with Aggregation-based Beaconing Detection across Large Campus Networks,"Zhang, Yizhe and Dong, Hongying and Nottingham, Alastair and Buchanan, Molly and Brown, Donald E. and Sun, Yixin",https://dl.acm.org/doi/pdf/10.1145/3627106.3627126,https://github.com/yzzhn/bcndetection,ACSAC,2023,0,2,"1,3",2,9/27/23,Python,,0,-1,,1,"NSF, ACC-APG and DARPA","1,2",Cannot release their actual data for legal reasons. Demo is running using dummy data
User Perceptions of Five-Word Passwords,"Xiaoyuan Wu, Collins W. Munyendo, Eddie Cosic, Genevieve A. Flynn, Olivia Legault, Adam J. Aviv",https://dl.acm.org/doi/pdf/10.1145/3564625.3567981,https://github.com/gwusec/2022-ACSAC-Five-word-Passwords,ACSAC,2022,0,2,1,2,10/7/22,"Javascript, Python, HTML, Other",,0,-1,,1,NSF,0,Scripts for reproducing figures compile and output matches. Docker container for running the survey builds but doesn't run.
Cloak: Transitioning States on Legacy Blockchains Using Secure and Publicly Verifiable Off-Chain Multi-Party Computation,"Qian Ren, Yingjun Wu, Han Liu, Yue Li, Anne Victor, Hong Lei, Lei Wang, Bangdao Chen",https://dl.acm.org/doi/pdf/10.1145/3564625.3567995,https://github.com/OxHainan/cloak,ACSAC,2022,6,1,"1,3",2,9/15/22,"C++, JavaScript, CMake, Python, Solidity, Shell, Other",,2,-1,,1,"National Key R&D Program of China, Finance Science and Technology Project of Hainan Province, National Natural Science Foundation of China, Research Startup Fund of Hainan University",0,With edits I made it up until the Run a TEE executor section of their instructions
FirmAE: Towards Large-Scale Emulation of IoT Firmware for Dynamic Analysis,"Kim, Mingeun and Kim, Dongkwan and Kim, Eunsoo and Kim, Suryeon and Jang, Yeongjin and Kim, Yongdae",https://dl.acm.org/doi/pdf/10.1145/3427228.3427294,http://github.com/pr0v3rbs/FirmAE,ACSAC,2020,1,1,1,"2, Google Drive",10/22/23,"Python, Shell, C, Other",,2,-1,,1,Institute of Information & communications Tech- nology Planning & Evaluation (IITP) grant funded by the Korea government (MSIT),-1,init.sh compiled after edits. Could not understand how the data worked with run.sh
Privacy-Preserving Production Process Parameter Exchange,"Pennekamp, Jan and Buchholz, Erik and Lockner, Yannik and Dahlmanns, Markus and Xi, Tiandong and Fey, Marcel and Brecher, Christian and Hopmann, Christian and Wehrle, Klaus",https://dl.acm.org/doi/pdf/10.1145/3427228.3427248,https://github.com/COMSYS/parameter-exchange,ACSAC,2020,0,2,0,2,11/6/20,"C++, Python, Shell, HTML, Other",,2,-1,,1,"Deutsche Forschungsgemeinschaft (DFG, German Research Foundation)",0,"Tried all three setup options (direct, partial docker, full docker) and couldn't get any to work"
Constrained Concealment Attacks against Reconstruction-based Anomaly Detectors in Industrial Control Systems,"Erba, Alessandro and Taormina, Riccardo and Galelli, Stefano and Pogliani, Marcello and Carminati, Michele and Zanero, Stefano and Tippenhauer, Nils Ole",https://dl.acm.org/doi/pdf/10.1145/3427228.3427660,https://github.com/scy-phy/ICS-Evasion-Attacks,ACSAC,2020,1,2,1,2,4/23/21,Python,,0,1,,0,"NSF, European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreemen",0,One of the datasets they use has to be requested. I was already at an hour of time so I did not request it. The scripts for their other dataset compiled
Probabilistic Naming of Functions in Stripped Binaries,"Patrick-Evans, James and Cavallaro, Lorenzo and Kinder, Johannes",https://dl.acm.org/doi/pdf/10.1145/3427228.3427265,https://github.com/punstrip/punstrip,ACSAC,2020,0,1,1,2,12/4/20,"Javascript, Python, Other",,2,-1,,1,"EPSRC and the UK government as part of the Centre for Doctoral Training in Cyber Security at Royal Holloway, University of London",-1,
WatchAuth: User Authentication and Intent Recognition in Mobile Payments using a Smartwatch,"Jack Sturgess, Simon Eberz, Ivo Sluganovic, Ivan Martinovic",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9797370,https://github.com/jacksturgess/watchauth,EuroS&P,2022,0,0,1,"2, University repo",1/17/23,Python,,2,-1,,0,Mastercard; the Engineering and Physical Sciences Research Council; and the PETRAS National Center of Excellence for IoT Systems Cybersecurity,-1,The filter and extracter scripts run but not the model
SoK: The Impact of Unlabelled Data in Cyberthreat Detection,"Giovanni Apruzzese, Pavel Laskov, Aliya Tastemirova",https://www.computer.org/csdl/pds/api/csdl/proceedings/download-article/1ErpEYKVYFa/pdf,https://github.com/hihey54/CEF-SsL,EuroS&P,2022,0,2,"1,3",2,11/25/23,Python,,0,-1,,1,Not specificed,-1,Their example compiles. I have not run their prototype.py because it requires additional data that they can't provide as well as writing a method to load the data
Extractor: Extracting Attack Behavior from Threat Reports,"Kiavash Satvat,Rigel Gjomemo,V.N. Venkatakrishnan",https://arxiv.org/pdf/2104.08618.pdf,https://github.com/ksatvat/Extractor,EuroS&P,2021,0,1,4,2,9/22/21,"Python, HTML, JavaScript, CSS",,-1,-1,,1,"DARPA, NSF",,Summarizes threat reports. No reports provided to run their code on
Ephemeral Astroturfing Attacks: The Case of Fake Twitter Trends,"Tuğrulcan Elmas,Rebekah Overdorf,Ahmed Furkan Özkalay,Karl Aberer",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9581221,https://github.com/tugrulz/EphemeralAstroturfing,EuroS&P,2021,0,1,2,2,5/3/23,Python,,-1,-1,,1,Not specified,-1,Repo contains a single python script consisting of only functions
Short Paper: PITracker: Detecting Android PendingIntent Vulnerabilities through Intent Flow Analysis,"Chennan Zhang, Shuang Li, Wenrui Diao, Shanqing Guo",https://dl.acm.org/doi/pdf/10.1145/3507657.3528555,https://github.com/Sp1keeeee/PItracker,WiSec,2022,0,1,4,2,4/21/22,Python,If someone has an apk to analyze,4,-1,,1,Not specified,4,Detects vulnerabilities in Android apps. They do not include any apks in their repo to test their code on.
On The Systematic Development and Evaluation Of Password Security Awareness-Raising Materials,"Mayer, Peter and Schwartz, Christian and Volkamer, Melanie",https://dl.acm.org/doi/pdf/10.1145/3274694.3274747,https://secuso.aifb.kit.edu/Unterlagen_Schutz_von_Benutzerkonten.php,ACSAC,2018,1,2,0,Research Group Website,Unknown,NA,,0,-1,,1,"German Federal Ministry for Economic Affairs and Energy, German Federal Ministry of Education and Research in the Competence Center for Applied Security Technology (KASTEL)",-1,Training module with provided GUI software. Written in German
There's a Hole in that Bucket! A Large-scale Analysis of Misconfigured S3 Buckets,"Continella, Andrea and Polino, Mario and Pogliani, Marcello and Zanero, Stefano",https://dl.acm.org/doi/pdf/10.1145/3274694.3274736,https://github.com/necst/truster,ACSAC,2018,0,1,Chrome extension,"2, Chrome Store",1/8/19,"JavaScript, HTML, CSS",Need Google Chrome,,,,1,European Union’s Horizon 2020 research and innovation programmender the Marie Skłodowska-Curie grant agreement,-1,
Osiris: Hunting for Integer Bugs in Ethereum Smart Contracts,"Torres, Christof Ferreira and Schütte, Julian and State, Radu",https://dl.acm.org/doi/pdf/10.1145/3274694.3274737,https://github.com/christoftorres/Osiris,ACSAC,2018,1,2,1,2,3/7/23,Python,,0,-1,,1,Not specified,0,Tested using the Quick Start steps from their repo
"Finding The Greedy, Prodigal, and Suicidal Contracts at Scale","Nikolić, Ivica and Kolluri, Aashish and Sergey, Ilya and Saxena, Prateek and Hobor, Aquinas",https://dl.acm.org/doi/pdf/10.1145/3274694.3274743,https://github.com/MAIAN-tool/MAIAN,ACSAC,2018,0,1,1,2,10/4/21,"Python, Solidity",,2,-1,,1,"Ministry of Education, Singapore, Yale-NUS College, and Crystal center at the National University of Singapore",0,The web3 version they use uses deprecated libraries
Now You See Me: Real-time Dynamic Function Call Detection,"de Goër, Franck and Rawat, Sanjay and Andriesse, Dennis and Bos, Herbert and Groz, Roland",https://dl.acm.org/doi/pdf/10.1145/3274694.3274712,https://github.com/Frky/iCi,ACSAC,2018,1,1,1,2,12/7/18,"Python, C++, C, Other",,2,-1,,0,Not specified,-1,Unclear what Pin is and couldn't install python spread-confiture package
Mapping to Bits: Efficiently Detecting Type Confusion Errors,"Pang, Chengbin and Du, Yunlan and Mao, Bing and Guo, Shanqing",https://dl.acm.org/doi/pdf/10.1145/3274694.3274719,https://github.com/bin2415/Bitype,ACSAC,2018,0,1,4,2,12/23/18,"C++, LLVM, C, Assembly, Objective-C, Objective-C++, Other",,-1,-1,,1,Chinese National Natural Science Foundation,-1,They evaluate their code on SPEC CPU2006 benchmarks which they do not provide and we don't have access to
Raising the Bar: Evaluating Origin-wide Security Manifests,"Van Acker, Steven and Hausknecht, Daniel and Sabelfeld, Andrei",https://dl.acm.org/doi/pdf/10.1145/3274694.3274701,https://www.cse.chalmers.se/research/group/security/originmanifest/,ACSAC,2018,0,-1,1,"0,Bitbucket",1/15/18,"Python, Docker",,2,-1,,1,Swedish Foundation for Strategic Research (SSF) and the Swedish Research Council (VR),-1,Authors didn't provide any instructions and their docker image failed to build
Towards Automated Generation of Exploitation Primitives for Web Browsers,"Garmany, Behrad and Stoffel, Martin and Gawlik, Robert and Koppe, Philipp and Blazytko, Tim and Holz, Thorsten",https://dl.acm.org/doi/pdf/10.1145/3274694.3274723,https://github.com/RUB-SysSec/PrimGen,ACSAC,2018,0,1,2,2,11/28/18,"HTML, JavaScript",Need Windows 10 VirtualBox,5,-1,,1,European Union’s Hori- zon 2020 research and innovation program,0,"""This repository containes data.. Code will follow :)"" The data provided is JS/HTML files containing generated code that can be used to exploit web browsers. They give an example of how to run one of the exploits on Windows 10 Virtual Box to target Mozilla Firefox"
