Paper Title,Author,Link to Paper,Link for Code,Conference,Year,Author Affiliation,ReadMe,Type,Available,Last Modified,Language,Evaluate Later,Compiles,Output Matches,Hardware,Made for Reproducibility,Funding,Artifact Evaluation,Comments
Automating the Quantitative Analysis of Reproducibility for Build Artifacts derived from the Android Open Source Project,"Manuel Pöll, Michael Roland",https://dl.acm.org/doi/pdf/10.1145/3507657.3528537,https://github.com/mobilesec/reproducible-builds-aosp,WiSec,2022,0,2,1,2,"April 4th, 2022",Shell,,,,,0,Austrian Government,3,
On the Security of Thread Networks: Experimentation with OpenThread-Enabled Devices,"Dimitrios-Georgios Akestoridis, Vyas Sekar, Patrick Tague",https://dl.acm.org/doi/pdf/10.1145/3507657.3528544,https://github.com/akestoridis/atusb-attacks,WiSec,2022,0,2,0,2,"May 19th, 2022",C,,,,,0,CMU,-1,
Replay Attacks and Defenses Against Cross-shard Consensus in Sharded Distributed Ledgers,"Alberto Sonnino, Shehar Bano, Mustafa Al-Bassam, George Danezis",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9230373,https://github.com/sheharbano/byzcuit,EuroS&P,2020,0,1,1,2,"April 6th, 2020",Python,,,,,,"EPSRC, EUH2020 DECODE",-1,
FLAIR: Defense against Model Poisoning Attack in Federated Learning,"Atul Sharma,Wei Chen,Joshua Zhao,Qiang Qiu,Saurabh Bagchi,Somali Chaterji",https://dl.acm.org/doi/pdf/10.1145/3579856.3582836,https://github.com/icanforce/federated-learning-flair,AsiaCCS,2023,0,2,1,2,"January 31st, 2023",Python,,,,,0,"NSF, ARL",-1,
Remote Attestation with Constrained Disclosure,"Eckel, Michael and George, Dominik Roy and Grohmann, Bj\""{o",https://dl.acm.org/doi/pdf/10.1145/3627106.3627118,https://github.com/DominikRoy/RACD,ACSAC,2023,1,2,1,2,"September 30th, 2023",C,,,,,1,National Research Center for Applied Cybersecurity ATHENE,2,
DOPE: DOmain Protection Enforcement with PKS,"Maar, Lukas and Schwarzl, Martin and Rauscher, Fabian and Gruss, Daniel and Mangard, Stefan",https://dl.acm.org/doi/pdf/10.1145/3627106.3627113,https://extgit.iaik.tugraz.at/sesys/dope,ACSAC,2023,0,2,1,4,August 2023,Shell,,,,,0,FFG,1,
FLEDGE: Ledger-based Federated Learning Resilient to Inference and Backdoor Attacks,"Castillo, Jorge and Rieger, Phillip and Fereidooni, Hossein and Chen, Qian and Sadeghi, Ahmad",https://dl.acm.org/doi/pdf/10.1145/3627106.3627194,https://github.com/jacastillo8/FLEDGE,ACSAC,2023,1,2,1,2,"December 2nd, 2023",JavaScript,,,,,0,DOE,1,
Secure MLaaS with Temper: Trusted and Efficient Model Partitioning and Enclave Reuse,"Li, Fabing and Li, Xiang and Gao, Mingyu",https://dl.acm.org/doi/pdf/10.1145/3627106.3627145,https://github.com/tsinghua-ideal/TEMPER-Secure-MLaaS,ACSAC,2023,0,2,1,2,"September 27th, 2023",Rust,,,,,,NNSF of China,2,
MAVERICK: An App-independent and Platform-agnostic Approach to Enforce Policies in IoT Systems at Runtime,"M. Hammad Mazhar, Li Li, Endadul Hoque, and Omar Chowdhury",https://dl.acm.org/doi/pdf/10.1145/3558482.3590188,https://github.com/hammadmazhar1/MAVERICK,WiSec,2023,0,2,1,2,"July 5th, 2023",C,,,,,,NSF,-1,
Assessing Model-free Anomaly Detection in Industrial Control Systems Against Generic Concealment Attacks,"Aless Erba, ro, Nils Ole Tippenhauer",https://dl.acm.org/doi/pdf/10.1145/3564625.3564633,https://github.com/scy-phy/ICS_Generic_Concealment_Attacks,ACSAC,2022,0,,,2,6/15/23,"Python, MATLAB",Needs Matlab GUI,,,,1,Not specified,1,
