Paper Title,Author,Link to Paper,Link for Code,Conference,Year,Author Affiliation,ReadMe,Type,Available,Last Modified,Language,Evaluate Later,Compiles,Output Matches,Hardware,Made for Reproducibility,Funding,Artifact Evaluation,Comments
Smart Contract-based Miner Registration and Block Validation,"Shijie Zhang,Jong-Hyouk Lee",https://dl.acm.org/doi/pdf/10.1145/3321705.3331010,https://github.com/zzyzydb/Miner-Registration,AsiaCCS,2019,0,1,1,2,04/06/2020,solidity,,1,1,,0,MSIT Korea,-1,"Required installing additional packages and changing an outdated import statement. Not quite sure if output matches, the numbers appear to be similar but it's not clear if the metrics output by the program are the same as the ones presented in the paper."
DynaGuard: Armoring Canary-based Protections against Brute-force Attacks,"Petsios, Theofilos, Kemerlis, Vasileios P., Polychronakis, Michalis, Keromytis, Angelos D.",https://dl.acm.org/doi/pdf/10.1145/2818000.2818031,https://github.com/nettrino/dynaguard	,ACSAC,2015,0,2,1,2,04/24/2016,C/C++,,2,-1,,1,Office of Naval Research,-1,Both versions don't compile
Secure and Efficient Key Derivation in Portfolio Authentication Schemes Using Blakley Secret Sharing,"Mayer, Peter, Volkamer, Melanie",https://dl.acm.org/doi/pdf/10.1145/2818000.2818043,https://github.com/SecUSo/t-n-threshold-verification	,ACSAC,2015,0,1,1,2,04/28/2015,Mathematica,,4,-1,,-1,German Federal Ministry for Economic Affairs and Energy,-1,Mathematica Requires a paid license to use
ShowTime: Amplifying Arbitrary CPU Timing Side Channels,"Antoon Purnal,Marton Bognar,Frank Piessens,Ingrid Verbauwhede",https://dl.acm.org/doi/pdf/10.1145/3579856.3590332,https://github.com/KULeuven-COSIC/ShowTime,AsiaCCS,2023,0,2,1,2,07/21/2023,C,Run with correct hardware,0,-1,Intel i7-7700k,0,"European Research Council, Flemish Gov",-1,"Designed for specific CPU, author notes that results will be different if attempting to use something else. "
K2SN-MSS: An Efficient Post-Quantum Signature,"Sabyasachi Karati,Reihaneh Safavi-Naini",https://dl.acm.org/doi/pdf/10.1145/3321705.3329837,https://github.com/skarati/K2SN-MSS,AsiaCCS,2019,0,-1,1,2,06/26/2019,C/C++,,0,0,,0,N/A,-1,"Program hangs/runs forever, no output generated"
Scam Augmentation and Customization: Identifying Vulnerable Users and Arming Defenders,Shahryar Baki and Rakesh M Verma and Omprakash Gnawali,https://dl.acm.org/doi/pdf/10.1145/3320269.3384753,https://github.com/harry1993/simple-dataset,AsiaCCS,2020,0,0,1,2,05/26/2020,R,,2,-1,,0,NSF,-1,"Program is to rerun data analysis, but data is not included. Can't run"
SIMPLE: single-frame based physical layer identification for intrusion detection and prevention on in-vehicle networks,"Mahsa Foruhandeh, Yanmao Man, Ryan Gerdes, Ming Li, Thidapat Chantem",https://dl.acm.org/doi/pdf/10.1145/3359789.3359834,,ACSAC,2019,0,1,1,2,10/02/2019,Matlab,Need License,4,-1,,0,NSF,-1,Need Matlab License
FuzzBuilder: automated building greybox fuzzing environment for C/C++ library,"Jang, Joonun and Kim, Huy Kang",https://dl.acm.org/doi/pdf/10.1145/3359789.3359846,https://github.com/hksecurity/FuzzBuilder,ACSAC,2019,6,2,1,2,05/17/2020,C++,,1,-1,,0,National Research Foundation of Korea,1,"Consists of a comparison between two programs, each program run takes 6 hours, so be warned. Not sure how to fairly evaluate this since it appears that resource avalibility directly affects results. Let one test run, the evaluation script doesn't appear to be present on the provided docker image. Grabbed the script from the repo, works on provided command but not other."
The Tangled Genealogy of IoT Malware,"Cozzi, Emanuele and Vervier, Pierre-Antoine and Dell'Amico, Matteo and Shen, Yun and Bilge, Leyla and Balzarotti, Davide",https://dl.acm.org/doi/pdf/10.1145/3427228.3427256,https://github.com/eurecom-s3/tangled_iot/,ACSAC,2020,2,1,3,2,01/05/2021,N/A,,-1,-1,,1,European Research Council,-1,"No program, just pdfs/data"
Policy-based Chameleon Hash for Blockchain Rewriting with Black-box Accountability,"Tian, Yangguang and Li, Nan and Li, Yingjiu and Szalachowski, Pawel and Zhou, Jianying",https://dl.acm.org/doi/pdf/10.1145/3427228.3427247,https://github.com/SMC-SMU/Accountable-Blockchain-Rewriting,ACSAC,2020,0,2,1,2,11/14/2021,Python,Test VM version,2,-1,,0,"Ministry of Education, Singapore",0,"Issue seems to be with the dependency charm-crypto. It seems like it may be dependant on some arbitrary commit of that project, since the usage doesn't match any documented layout (including older versions). They also provided a VM that should be good to go that I haven't tested."
NoiseScope: Detecting Deepfake Images in a Blind Setting,"Jiameng Pu,Neal Mangaokar,Bolun Wang,Chandan K Reddy,Bimal Viswanath",https://dl.acm.org/doi/pdf/10.1145/3427228.3427285,https://github.com/jmpu/NoiseScope,ACSAC,2020,0,2,1,2,06/23/2020,"Matlab,C++,Python",Need License,-1,-1,,-1,N/A,-1,
VIA: Analyzing Device Interfaces of Protected Virtual Machines,"Hetzelt, Felicitas and Radev, Martin and Buhren, Robert and Morbitzer, Mathias and Seifert, Jean-Pierre",https://dl.acm.org/doi/pdf/10.1145/3485832.3488011,https://github.com/file-citas/via,ACSAC,2021,0,2,1,2,09/06/2021,C,,0,-1,,0,"Ministry of Education, Singapore",0,"Ran for over 24 hours, still not done. I will keep it running but this is mainly to remind me to check on it again. Update several days later, it's still running, but it is generating output. Came back after a while and the computer ran out of storage space, causing the run to fail. Not going to try running it again."
Designing a Provenance Analysis for SGX Enclaves,"Flavio Toffalini, Mathias Payer, Jianying Zhou, Lorenzo Cavallaro",https://dl.acm.org/doi/pdf/10.1145/3564625.3567994,https://github.com/tregua87/sgxmonitor-artifact,ACSAC,2022,0,1,1,2,11/15/2022,C/C++,Computer apparently doesn't have enough ram to build docker image,,,,0,European Research Council,1,
Artemis: Defanging Software Supply Chain Attacks in Multi-repository Update Systems,"Moore, Marina and Kuppusamy, Trishank Karthik and Cappos, Justin",https://dl.acm.org/doi/pdf/10.1145/3627106.3627129,https://github.com/mnm678/artemis-artifacts,ACSAC,2023,1,1,1,2,09/28/2023,Python,Possibly Automate setup,1,0,,0,N/A,2,"Setup requires manual copy/pasting that I didn't want to spend the time to script, so docker image doesn't work off the bat"
Can Large Language Models Provide Security \&amp; Privacy Advice? Measuring the Ability of LLMs to Refute Misconceptions,"Chen, Yufan and Arunasalam, Arjun and Celik, Z. Berkay",https://dl.acm.org/doi/pdf/10.1145/3627106.3627196,https://github.com/purseclab/LLM_Security_Privacy_Advice,ACSAC,2023,0,0,1,2,01/04/2024,Python,,0,1,,0,Purdue University,2,"Multiple setup methods, I downloaded the prebuilt docker container"
Binary Function Clone Search in the Presence of Code Obfuscation and Optimization over Multi-CPU Architectures,"Abdullah Qasem,Mourad Debbabi,Bernard Lebel,Marthe Kassouf",https://dl.acm.org/doi/pdf/10.1145/3579856.3582818,https://drive.google.com/drive/folders/1Mytyb3KF55trbFs7oKeZnhjl88uBtRWz,AsiaCCS,2023,6,1,4,2,09/01/2022,Python,,2,-1,,0,N/A,-1,"Made with jupyter notebooks? instructions unclear, not bothering to figure this one out"
Faster TFHE Bootstrapping with Block Binary Keys,"Changmin Lee,Seonhong Min,Jinyeong Seo,Yongsoo Song",https://dl.acm.org/doi/pdf/10.1145/3579856.3595804,https://github.com/SNUCP/blockkey-tfhe,AsiaCCS,2023,0,1,1,2,06/30/2023,C++,,0,-1,,1,Samsung Research Funding & Incubation Center,-1,
Wolf at the Door: Preventing Install-Time Attacks in npm with Latch,Wyss Elizabeth and Wittman Alexander and Davidson Drew and De Carli Lorenzo,dl.acm.org/doi/pdf/10.1145/3488932.3523262,https://github.com/elizabethwyss/Latch,AsiaCCS,2022,0,1,1,2,03/03/2022,JavaScript,,2,-1,,1,Google Open Source Security Team,-1,"Instructions unclear, not even sure how to use it"
VERICONDOR: End-to-End Verifiable Condorcet Voting without Tallying Authorities,Harrison Luke and Bag Samiran and Luo Hang and Hao Feng,dl.acm.org/doi/pdf/10.1145/3488932.3497758,https://osf.io/g2hfm/?view_only=48fc2c9412e14d1c84b7ae7171b048dd,AsiaCCS,2022,0,1,1,2,04/01/2022,Java,,2,-1,,0,"EPSRC studentship, Royal Society",-1,"Issue with gradle building, no idea what's wrong"
Efficient Oblivious Permutation via the Waksman Network,Holland William and Ohrimenko Olga and Wirth Anthony,dl.acm.org/doi/pdf/10.1145/3488932.3497761,https://github.com/wCloudRain/orp,AsiaCCS,2022,0,1,1,2,12/14/2021,C++,,0,-1,,0,"Australian Government RTP Scholarship Research Training Program, Facebook research award, Australian Research Council",-1,Not really sure how to compare output. Code provided runs one version/iteration of the experiment and doesn't reproduce all data. Although the one run does appear to match their conclusion.
Mixed Certificate Chains for the Transition to Post-Quantum Authentication in TLS 1.3,Paul Sebastian and Kuzovkova Yulia and Lahr Norman and Niederhagen Ruben,dl.acm.org/doi/pdf/10.1145/3488932.3497755,https://github.com/boschresearch/pq-wolfSSL,AsiaCCS,2022,6,1,1,2,11/29/2021,C,"This is a win32 visual C project, need to figure out what to do with it",,,,-1,German Federal Ministry of Education and Research,-1,
Speedster: An Efficient Multi-party State Channel via Enclaves,Liao Jinghui and Zhang Fengwei and Sun Wenhai and Shi Weisong,dl.acm.org/doi/pdf/10.1145/3488932.3523259,https://anonymous.4open.science/repository/69a045e8-c23d-49f1-94c9-df0ebdaa08cc/README.md,AsiaCCS,2022,0,1,1,2,03/25/2021,C++,,,,,-1,Technology and Innovation Commission of ShenZhen Municipality,-1,"Unsure how to get Intel SGX working, which this project depends on. Tried the amd version, requires running vms"
You Cannot Always Win the Race: Analyzing mitigations for branch target prediction attacks,"Alyssa Milburn,Ke Sun,Henrique Kawakami",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190478,https://github.com/IntelSTORMteam/win-the-race,EuroS&P,2023,3,-1,5,-1,N/A,N/A,,-1,-1,,1,N/A,-1,Link is Bad
CHERI-TrEE: Flexible enclaves on capability machines,"Thomas Van Strydonck,Job Noorman,Jennifer Jackson,Leonardo Alves Dias,Robin Vanderstraeten,David Oswald,Frank Piessens,Dominique Devriese",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190507,https://github.com/proteus-core/cheritree,EuroS&P,2023,0,2,1,2,07/04/2023,"Sail, C, Scala",,2,-1,,0,Research Fund KU Leuven,-1,"Three different artifacts, tried to build one and it didn't work, so didn't bother with the others"
Been here already? Detecting Synchronized Browsers in the Wild,"Pantelina Ioannou,Elias Athanasopoulos",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190548,https://bitbucket.org/srecgrp/synced_browsers_public/,EuroS&P,2023,0,-1,5,-1,N/A,N/A,,-1,-1,,-1,European Union’s Digital Europe Programme,-1,Bad Link
Act natural!': Exchanging Private Messages on Public Blockchains,"Thore Tiemann,Sebastian Berndt,Thomas Eisenbarth,Maciej Liskiewicz",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190519&casa_token=3pXim8Bl9gkAAAAA:itpSB6lv7DkFYly8GiH5Zb0AQr1lMrBXs-mQ-ZGdlhr2EShKROG61758vlmcBm4vbm5ym_ab,https://github.com/UzL-ITS/act-natural,EuroS&P,2023,0,2,1,2,06/01/2023,"Python, C",,1,-1,,1,German Research Foundation,-1,See the README in the folder I made for instructions on running the different artifacts
